Word1,Word2,Euclidean,Manhattan,Cosine,Correlation
Salam,Salam,8.59812952224131,190.54705987301293,0.018955854174677045,0.018955854174677045
Salam,Bale,22.969408787441722,455.02153657559154,0.13528044616528379,0.13528044616528379
Bale,Kheir,21.330302722440834,472.0012862888525,0.11666200364896562,0.11666200364896562
Bale,Motshakeram,25.15658222705403,483.0840970644267,0.1622701613709051,0.1622701613709051
BesiarAali,BesiarAali,4.532393455703507,115.65064130783091,0.005267330881359444,0.005267330881359444
Motshakeram,Motshakeram,5.492591957415893,130.24467347701625,0.0077355298488898105,0.0077355298488898105
Salam,Motshakeram,14.395042932027668,352.7375631055713,0.05313263102946686,0.05313263102946686
BesiarAali,BesiarAali,4.541316895171634,113.91030403266069,0.005288092087787466,0.005288092087787466
BesiarAali,BesiarAali,4.532393455703507,115.65064130783091,0.005267330881359444,0.005267330881359444
BesiarAali,BesiarAali,5.999000678579549,145.72601502258314,0.009227694651692375,0.009227694651692375
BesiarAali,BesiarAali,4.5171109432547505,118.14258393029057,0.005231869557351776,0.005231869557351776
BesiarAali,Salam,16.852614631221623,386.01788922190036,0.072823235873965,0.072823235873965
BesiarAali,Motshakeram,16.924364148946097,412.62790280755706,0.07344464149900742,0.07344464149900742
Salam,Motshakeram,16.022019749223777,384.3673444719377,0.06582182483192789,0.06582182483192789
Salam,Motshakeram,13.995305725583979,349.61084489986155,0.0502227134237353,0.0502227134237353
Salam,Motshakeram,16.282894276284242,373.82573274570524,0.06798272974683361,0.06798272974683361
Salam,Motshakeram,16.70309224067625,389.046518822705,0.0715367411283433,0.0715367411283433
