Word1,Word2,Euclidean,Manhattan,Cosine,Correlation,DTW Distance,Total Length,Std Dev,Diagonal Deviation,Turning Points,Compression Points,Expansion Points
Salam,Salam,8.59812952224131,190.54705987301293,0.018955854174677045,0.018955854174677045,55.71741859248269,69.88225099390857,0.08116894978836614,0.5882352941176471,1.5,1,1
Salam,Bale,22.969408787441722,455.02153657559154,0.13528044616528379,0.13528044616528379,136.8169369416691,75.1543289325507,0.19607381743601895,7.2,3.5,10,10
Bale,Kheir,21.330302722440834,472.0012862888525,0.11666200364896562,0.11666200364896562,144.0366042477731,72.22539674441617,0.16090031453665968,3.618181818181818,2.5,5,5
Bale,Motshakeram,25.15658222705403,483.0840970644267,0.1622701613709051,0.1622701613709051,159.11499244662113,74.5685424949238,0.19162958951763928,3.135593220338983,3.5,9,9
BesiarAali,BesiarAali,4.532393455703507,115.65064130783091,0.005267330881359444,0.005267330881359444,29.27251100710211,70.46803743153546,0.11136098487967118,0.34615384615384615,4.0,2,2
Motshakeram,Motshakeram,5.492591957415893,130.24467347701625,0.0077355298488898105,0.0077355298488898105,35.34653922424542,69.88225099390857,0.08116894978836614,0.43137254901960786,2.0,1,1
Salam,Motshakeram,14.395042932027668,352.7375631055713,0.05313263102946686,0.05313263102946686,92.40912383442128,73.39696961966999,0.17935973380357528,4.385964912280702,5.5,7,7
BesiarAali,BesiarAali,4.541316895171634,113.91030403266069,0.005288092087787466,0.005288092087787466,27.58439590493156,70.46803743153546,0.11136098487967117,0.6730769230769231,4.0,2,2
BesiarAali,BesiarAali,4.532393455703507,115.65064130783091,0.005267330881359444,0.005267330881359444,29.27251100710211,70.46803743153546,0.11136098487967118,0.34615384615384615,4.0,2,2
BesiarAali,BesiarAali,5.999000678579549,145.72601502258314,0.009227694651692375,0.009227694651692375,38.35535286481531,70.46803743153546,0.11136098487967117,0.6923076923076923,3.0,2,2
BesiarAali,BesiarAali,4.5171109432547505,118.14258393029057,0.005231869557351776,0.005231869557351776,29.690169266453747,69.88225099390857,0.08116894978836615,0.1568627450980392,2.0,1,1
BesiarAali,Salam,16.852614631221623,386.01788922190036,0.072823235873965,0.072823235873965,114.60089506778935,69.29646455628166,0.0,0.0,0.0,0,0
BesiarAali,Motshakeram,16.924364148946097,412.62790280755706,0.07344464149900742,0.07344464149900742,114.61824106583174,69.88225099390857,0.08116894978836614,0.9607843137254902,1.0,1,1
Salam,Motshakeram,16.022019749223777,384.3673444719377,0.06582182483192789,0.06582182483192789,108.66095563873192,72.81118318204308,0.1710749713675805,4.517857142857143,4.5,6,6
Salam,Motshakeram,13.995305725583979,349.61084489986155,0.0502227134237353,0.0502227134237353,87.75501110202191,73.9827560572969,0.18612357197926796,5.396551724137931,7.5,8,8
Salam,Motshakeram,16.282894276284242,373.82573274570524,0.06798272974683361,0.06798272974683361,100.12424256860959,73.98275605729691,0.18612357197926796,5.879310344827586,4.5,8,8
Salam,Motshakeram,16.70309224067625,389.046518822705,0.0715367411283433,0.0715367411283433,104.04008861735886,74.5685424949238,0.19162958951763928,6.593220338983051,5.5,9,9
